thread,activation,varDict,count,lock,kind,scope,executable,line,prefix,source,package,raw
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE","19","*-*","if name == value","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">V>","NAME => ""INDETERMINATE""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">V>","VALUE => ""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A10","V2",".",".","method","indeterminate","MAKESTRING",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A10","V2","00001","*","method","indeterminate","MAKESTRING","27","*-*","return self~objectName","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A10","V2","00001","*","method","indeterminate","MAKESTRING",".",">V>","SELF => ""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A10","V2","00001","*","method","indeterminate","MAKESTRING",".",">M>","""OBJECTNAME"" => ""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A10","V2","00001","*","method","indeterminate","MAKESTRING",".",">>>","""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">O>","""=="" => ""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">>>","""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE","20","*-*","else","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE","20","*-*","values[name] = value","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">V>","VALUES => ""a Directory""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
